## Level: 0
0 0 0; [1,0]
## Level: 1
-1.0 45.0 0; [2,0]
## Level: 2
-6.0 81.0 0; [3,0] [3,1]
## Level: 3
-21.0 94.0 0; [4,0]
4.0 127.0 0; [4,1]
## Level: 4
-47.0 103.0 0; [5,0]
2.0 156.0 0; [5,1]
## Level: 5
-67.0 114.0 0; [6,0]
-6.0 183.0 0; [6,1]
## Level: 6
-89.0 137.0 0;
-11.0 212.0 0; [7,0]
## Level: 7
-6.0 239.0 0; [8,0]
## Level: 8
-1.0 261.0 0; [9,0]
## Level: 9
-10.0 283.0 0; [10,0]
## Level: 10
-17.0 305.0 0; [11,0]
## Level: 11
-13.0 331.0 0; [12,0]
## Level: 12
-3.0 349.0 0; [13,0]
## Level: 13
-9.0 371.0 0; [14,0]
## Level: 14
-24.0 392.0 0; [15,0]
## Level: 15
-29.0 406.0 0; [16,0]
## Level: 16
-26.0 427.0 0; [17,0]
## Level: 17
-21.0 449.0 0; [18,0]
## Level: 18
-27.0 476.0 0; [19,0]
## Level: 19
-30.0 500.0 0; [20,0]
## Level: 20
-36.0 527.0 0; [21,0]
## Level: 21
-49.0 551.0 0; [22,0]
## Level: 22
-62.0 572.0 0; [23,0]
## Level: 23
-62.0 588.0 0; [24,0]
## Level: 24
-62.0 601.0 0; [25,0]
## Level: 25
-57.0 624.0 0; [26,0]
## Level: 26
-62.0 649.0 0; [27,0]
## Level: 27
-69.0 679.0 0; [28,0]
## Level: 28
-78.0 706.0 0; [29,0] [29,1]
## Level: 29
-76.0 730.0 0; [30,0]
-90.0 744.0 0; [30,1]
## Level: 30
-69.0 755.0 0; [31,0]
-99.0 778.0 0; [31,1]
## Level: 31
-53.0 773.0 0; [32,0]
-121.0 810.0 0; [32,1]
## Level: 32
-41.0 792.0 0; [33,0]
-123.0 853.0 0; [33,1] [33,2]
## Level: 33
-31.0 814.0 0; [34,0]
-141.0 860.0 0; [34,1]
-108.0 891.0 0; [34,2]
## Level: 34
-21.0 845.0 0; [35,0]
-159.0 870.0 0;
-107.0 919.0 0; [35,1]
## Level: 35
-16.0 874.0 0; [36,0]
-109.0 931.0 0; [36,1] [36,2]
## Level: 36
-13.0 903.0 0; [37,0]
-99.0 950.0 0; [37,1]
-116.0 941.0 0; [37,2]
## Level: 37
-12.0 934.0 0; [38,0]
-96.0 965.0 0; [38,1]
-141.0 969.0 0; [38,2]
## Level: 38
-16.0 973.0 0; [39,0]
-81.0 991.0 0; [39,1]
-149.0 998.0 0; [39,2] [39,3]
## Level: 39
-12.0 1003.0 0; [40,0]
-72.0 1031.0 0; [40,1]
-170.0 997.0 0;
-148.0 1040.0 0; [40,2]
## Level: 40
-8.0 1033.0 0; [41,0]
-53.0 1069.0 0; [41,1]
-151.0 1074.0 0; [41,2]
## Level: 41
-7.0 1052.0 0; [42,0]
-39.0 1104.0 0; [42,1]
-176.0 1137.0 0; [42,2]
## Level: 42
-6.0 1071.0 0;
-38.0 1141.0 0; [43,0]
-190.0 1184.0 0; [43,1]
## Level: 43
-32.0 1200.0 0;
-225.0 1219.0 0; [44,0]
## Level: 44
-233.0 1253.0 0; [45,0]
## Level: 45
-239.0 1290.0 0; [46,0]
## Level: 46
-236.0 1330.0 0; [47,0] [47,1]
## Level: 47
-256.0 1333.0 0; [48,0]
-227.0 1362.0 0; [48,1]
## Level: 48
-283.0 1344.0 0; [49,0]
-217.0 1398.0 0; [49,1]
## Level: 49
-310.0 1379.0 0; [50,0]
-210.0 1417.0 0; [50,1] [50,2]
## Level: 50
-328.0 1413.0 0; [51,0]
-199.0 1421.0 0; [51,1]
-228.0 1450.0 0; [51,2]
## Level: 51
-337.0 1446.0 0; [52,0]
-186.0 1435.0 0; [52,1]
-238.0 1475.0 0; [52,2] [52,3]
## Level: 52
-344.0 1479.0 0; [53,0]
-181.0 1457.0 0; [53,1]
-252.0 1473.0 0; [53,2]
-237.0 1510.0 0; [53,3]
## Level: 53
-342.0 1512.0 0; [54,0]
-170.0 1474.0 0; [54,1]
-274.0 1487.0 0; [54,2]
-222.0 1544.0 0; [54,3]
## Level: 54
-350.0 1534.0 0; [55,0]
-165.0 1503.0 0;
-296.0 1506.0 0; [55,1]
-208.0 1579.0 0; [55,2]
## Level: 55
-361.0 1565.0 0;
-307.0 1523.0 0; [56,0]
-207.0 1614.0 0; [56,1] [56,2]
## Level: 56
-316.0 1568.0 0; [57,0]
-231.0 1633.0 0; [57,1]
-204.0 1632.0 0; [57,2]
## Level: 57
-319.0 1593.0 0; [58,0]
-251.0 1657.0 0; [58,1]
-193.0 1665.0 0; [58,2]
## Level: 58
-324.0 1618.0 0;
-274.0 1705.0 0;
